"file" "coverage" "spikiness" "evenness.mean" "evenness.med" "background" "quality"
"23" "blm-1-single-c5-w41-3d6_S141_.trimmed.mdup.bam" 18 0.319269226420276 0.259009369181604 0.256039000293099 0.0249564942255972 "okay"
"24" "blm-1-single-c5-w42-3d6_S142_.trimmed.mdup.bam" 62 0.22845331403792 0.251841127624862 0.251216962769574 0.0178112361350258 "okay"
"25" "blm-1-single-c5-w43-3d6_S143_.trimmed.mdup.bam" 44 0.25577914632723 0.25114252409584 0.249558919883076 0.0268887245754257 "okay"
"26" "blm-1-single-c5-w45-3d6_S145_.trimmed.mdup.bam" 51 0.24698475123816 0.252879315658981 0.252010509907242 0.0233838438896762 "okay"
"27" "blm-1-single-c5-w47-3d6_S147_.trimmed.mdup.bam" 19 0.318349323336934 0.258572450049015 0.256287479959273 0.0350729179221405 "okay"
"28" "blm-1-single-c5-w5-3d6_S105_.trimmed.mdup.bam" 28 0.290441740655486 0.25616754000687 0.253804099441674 0.0233660130718954 "okay"
"29" "blm-1-single-c5-w6-3d6_S106_.trimmed.mdup.bam" 31 0.288199563602052 0.256368014562889 0.254448327883399 0.0324920940038445 "okay"
"30" "blm-1-single-c5-w7-3d6_S107_.trimmed.mdup.bam" 128 0.189360891975948 0.239718141782319 0.239439164370259 0.0148960913295516 "okay"
"31" "blm-1-single-c9-w15_.trimmed.mdup.bam" 47 0.225534540915434 0.230540974203825 0.23014642123887 0.0328453422752924 "okay"
"32" "blm-1-single-c9-w19-3d6_S315_.trimmed.mdup.bam" 32 0.27690491582113 0.255262064471441 0.252915347426209 0.0256705340786322 "okay"
"33" "blm-1-single-c9-w24-3d6_S320_.trimmed.mdup.bam" 30 0.275534952261075 0.253089957589896 0.251153732665286 0.021050920469785 "okay"
"34" "blm-1-single-c9-w31_.trimmed.mdup.bam" 29 0.246370504279513 0.237021397163879 0.236908363820952 0.0219269960015478 "okay"
"35" "blm-1-single-c9-w33_.trimmed.mdup.bam" 45 0.219533068087981 0.233252348817159 0.232262401189992 0.0231872335406029 "okay"
"36" "blm-1-single-c9-w35-3d6_S331_.trimmed.mdup.bam" 26 0.291101293783528 0.256556385845946 0.253867782102437 0.0325154598045083 "okay"
"37" "blm-1-single-c9-w40_.trimmed.mdup.bam" 64 0.194276465751429 0.230275074534278 0.228971577832013 0.0358593456186536 "okay"
"38" "blm-1-single-c9-w42_.trimmed.mdup.bam" 57 0.183492440452397 0.214515295138468 0.211860056125044 0.0166352237312515 "okay"
"39" "blm-1-single-c9-w43-3d6_S339_.trimmed.mdup.bam" 24 0.275290304434593 0.242202398911093 0.241923886990565 0.043483398322108 "okay"
"40" "blm-1-single-c9-w44_.trimmed.mdup.bam" 33 0.238114791963947 0.238964792735154 0.237760922596862 0.0246903882910481 "okay"
"41" "blm-1-single-c9-w46-3d6_S342_.trimmed.mdup.bam" 23 0.300048889417423 0.25830856717562 0.256528643264847 0.031396083385976 "okay"
"42" "blm-1-single-c9-w6-3d6_S302_.trimmed.mdup.bam" 29 0.312637046814127 0.259335033917065 0.258120235290323 0.0186559123233691 "okay"
"43" "blm-1-single-f5-r1-c1_S1_.trimmed.mdup.bam" 248 0.113412418822648 0.194611829067151 0.19400196854966 0.0168753472626016 "very_good"
"44" "blm-1-single-f5-r1-c2_S2_.trimmed.mdup.bam" 212 0.115774607363453 0.194024192410199 0.193602817238822 0.0110553319561894 "very_good"
"45" "blm-1-single-f5-r1-c3_S3_.trimmed.mdup.bam" 131 0.133099662056056 0.201381363161533 0.200902921332764 0.0149630081188174 "good"
"46" "blm-1-single-f5-r2-c1_S8_.trimmed.mdup.bam" 154 0.228014922424526 0.229508423427613 0.219809350327026 0.0371230483538703 "okay"
"47" "blm-1-single-f5-r3-c1_S15_.trimmed.mdup.bam" 105 0.260143332372158 0.247530492193314 0.233516824568735 0.0162674293886307 "okay"
"48" "blm-1-single-f5-r4-c6_S27_.trimmed.mdup.bam" 33 0.247140064888033 0.244515832111706 0.244209657080478 0.0242866652893511 "okay"
"49" "blm-1-single-f5-r4-c7_S28_.trimmed.mdup.bam" 29 0.253676887166587 0.237026089828152 0.236706300961117 0.0332689357349849 "okay"
"50" "blm-1-single-f5-r5-c2_S30_.trimmed.mdup.bam" 20 0.28878434201036 0.244024272548774 0.243417991136934 0.040831206707984 "okay"
"51" "blm-1-single-f5-r5-c3_S31_.trimmed.mdup.bam" 28 0.260542307338183 0.245449659099469 0.245245463505495 0.0187266690040629 "okay"
