Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-c38-mesc-a1h5-hkt-f14-r5-c2_S1205_	G	135	0.000387111	0.977	548728	548728	73.587413	0.04837	0.0142319699	0.1223034473	99	0.5	0.416107	0.138362
f1216-c38-mesc-a1h5-hkt-f14-r5-c3_S1206_	G	126	0.000352512	0.9501	545044	545044	72.918583	0.041248	0.0141127713	0.0349800146	101	0.5	0.413357	0.153182
f1216-c38-mesc-a1h5-hkt-f14-r5-c4_S1207_	G	131	0.000333995	0.9783	562758	562758	73.116613	0.046155	0.01453623	0.0727863755	102	0.5147058824	0.414778	0.146228
f1216-c38-mesc-a1h5-hkt-f14-r5-c5_S1208_	G	NA	0.138551	0.2297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f1216-c38-mesc-a1h5-hkt-f14-r5-c6_S1209_	G	127	0.00133088	0.9658	485988	485988	73.170134	0.043618	0.0125958368	0.1110226821	87	0.5	0.420459	0.138052
f1216-c38-mesc-a1h5-hkt-f14-r6-c2_S1210_	G	122	0.00133764	0.9639	398550	398550	71.585063	0.032493	0.0102234053	0.0896161718	73	0.5	0.419254	0.142738
f1216-c38-mesc-a1h5-hkt-f14-r6-c3_S1211_	G	115	0.0146739	0.969	330536	330536	70.715501	0.02332	0.0084551617	0.0593970864	60	0.4769230769	0.420163	0.154346
f1216-c38-mesc-a1h5-hkt-f14-r6-c4_S1212_	G	113	0.00200285	0.9645	313716	313716	70.350046	0.024468	0.0079740474	0.1105064454	58	0.4642857143	0.418984	0.144889
f1216-c38-mesc-a1h5-hkt-f14-r6-c5_S1213_	G	109	0.000944409	0.9031	332414	332414	70.229199	0.022911	0.0084482621	0.053690179	63	0.4925373134	0.419698	0.153409
f1216-c38-mesc-a1h5-hkt-r57-c39_S723_	G	117	0.00639444	0.9245	203184	203184	70.946433	0.017816	0.0052438367	0.0375211585	39	0.4782608696	0.423024	0.134405
f1216-c38-mesc-a1h5-hkt-r57-c40_S724_	G	117	0.000536176	0.9405	255202	255202	71.105128	0.018848	0.0065941303	0.0275482094	47	0.5	0.43299	0.151261
f1216-c38-mesc-a1h5-hkt-r57-c41_S725_	G	115	0.00442367	0.8476	178998	178998	70.764774	0.018693	0.0046036939	0.1136658187	32	0.4523809524	0.426939	NA
f1216-c38-mesc-a1h5-hkt-r57-c42_S726_	G	111	0.00937218	0.9116	231374	231374	70.294804	0.0204	0.0059009616	0.0511896179	43	0.5517241379	0.423913	0.137239
f1216-c38-mesc-a1h5-hkt-r57-c43_S727_	G	126	0.0024883	0.9455	518096	518096	72.113784	0.033534	0.0133736927	0.0232553823	92	0.5090909091	0.420666	0.16525
f1216-c38-mesc-a1h5-hkt-r57-c44_S728_	G	129	0.0148844	0.9693	466178	466178	72.532526	0.031709	0.0121262553	0.036297346	87	0.5294117647	0.420676	0.161587
f1216-c38-mesc-a1h5-hkt-r57-c45_S729_	G	127	0.0101322	0.9587	490528	490528	72.292159	0.030306	0.0127357915	0.089043625	90	0.5094339623	0.424727	0.170405
f1216-c38-mesc-a1h5-hkt-r57-c46_S730_	G	129	0.000320203	0.9579	479102	479102	72.714912	0.03095	0.0125035659	0.0392561983	93	0.4512195122	0.426169	0.165966
