file	coverage	spikiness	evenness.mean	evenness.med
f1216-c38-mesc-a1h5-hkt-f13-r6-c4_S1187_.processed.bam	0.00762826835926511	0.203558994732799	0.22734520159265	0.220656518473309
f1216-c38-mesc-a1h5-hkt-f13-r6-c5_S1188_.processed.bam	0.00940809206763617	0.194323587096192	0.215331974493543	0.210267858558655
f1216-c38-mesc-a1h5-hkt-f14-r2-c2_S1190_.processed.bam	0.00822606895261562	0.203180889991366	0.220081078577784	0.216229665491099
f1216-c38-mesc-a1h5-hkt-f14-r2-c3_S1191_.processed.bam	0.0186252928097468	0.23559393229444	0.236036072339664	0.236028339360426
f1216-c38-mesc-a1h5-hkt-f14-r2-c4_S1192_.processed.bam	0.00410703899745894	0.282907109138127	0.248291378818395	0.247976546740613
f1216-c38-mesc-a1h5-hkt-f14-r2-c5_S1193_.processed.bam	0.00191903083199135	0.332654225409502	0.247524559006635	0.246226108730265
f1216-c38-mesc-a1h5-hkt-f14-r2-c6_S1194_.processed.bam	0.0150106890972139	0.176113501912437	0.239919149122442	0.225295657142265
f1216-c38-mesc-a1h5-hkt-f14-r3-c2_S1195_.processed.bam	0.0153842535767623	0.169345707324065	0.208512761646602	0.20168127944923
f1216-c38-mesc-a1h5-hkt-f14-r3-c3_S1196_.processed.bam	0.0111562827249822	0.186299992458711	0.221639828713729	0.211246631775175
f1216-c38-mesc-a1h5-hkt-f14-r3-c4_S1197_.processed.bam	0.00933516253070377	0.196748034950029	0.225400657984568	0.219511192889336
f1216-c38-mesc-a1h5-hkt-f14-r3-c5_S1198_.processed.bam	0.0139479696701609	0.1955873340143	0.213111453388929	0.211666977313307
f1216-c38-mesc-a1h5-hkt-f14-r3-c6_S1199_.processed.bam	0.013259994611781	0.173553684561521	0.211718014618586	0.205238236507552
f1216-c38-mesc-a1h5-hkt-f14-r4-c2_S1200_.processed.bam	0.0146953541069588	0.167564957964493	0.209298162900399	0.20323604825078
f1216-c38-mesc-a1h5-hkt-f14-r4-c3_S1201_.processed.bam	0.0184259575246784	0.188562293484204	0.22646098854718	0.225021898381907
f1216-c38-mesc-a1h5-hkt-f14-r4-c4_S1202_.processed.bam	0.00226578738025347	0.342234667395165	0.249084005416886	0.248749169349347
f1216-c38-mesc-a1h5-hkt-f14-r4-c5_S1203_.processed.bam	0.0119197351330645	0.178820497627546	0.208725134103802	0.202395343228845
