Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing	coverage	spikiness	evenness.mean	evenness.med
f1216-c38-mesc-a1h5-hkt-f14-r3-c5_S1198_.processed.bam	G	141	0.000615435	0.9831	520192	520192	73.993983	0.050716	0.0135329498	0.0869736221	93	0.4915254237	0.416754	0.137418	0.0139479696701609	0.1955873340143	0.213111453388929	0.211666977313307
f1216-c38-mesc-a1h5-hkt-f14-r3-c6_S1199_.processed.bam	G	123	0.00984206	0.9418	503880	503880	72.667514	0.039978	0.0130192164	0.0261191175	93	0.4769230769	0.414447	0.144372	0.013259994611781	0.173553684561521	0.211718014618586	0.205238236507552
f1216-c38-mesc-a1h5-hkt-f14-r4-c2_S1200_.processed.bam	G	127	0.00319813	0.9537	557204	557204	72.828747	0.040147	0.0144264019	0.027796949	103	0.5301204819	0.413417	0.155942	0.0146953541069588	0.167564957964493	0.209298162900399	0.20323604825078
f1216-c38-mesc-a1h5-hkt-f14-r4-c3_S1201_.processed.bam	G	123	0.0131458	0.9331	705522	705522	72.136626	0.038411	0.0181255882	0.0700488219	128	0.5	0.421986	0.178704	0.0184259575246784	0.188562293484204	0.22646098854718	0.225021898381907
f1216-c38-mesc-a1h5-hkt-f14-r4-c4_S1202_.processed.bam	G	106	0.00236892	0.8034	89598	89598	69.880299	0.012924	0.0022889689	0.158853706	16	0.4814814815	0.428359	0.0970537	0.00226578738025347	0.342234667395165	0.249084005416886	0.248749169349347
f1216-c38-mesc-a1h5-hkt-f14-r4-c5_S1203_.processed.bam	G	128	0.00248327	0.981	449490	449490	73.205408	0.044406	0.0116458945	0.0593360019	82	0.4769230769	0.41355	0.131651	0.0119197351330645	0.178820497627546	0.208725134103802	0.202395343228845
f1216-c38-mesc-a1h5-hkt-f14-r4-c6_S1204_.processed.bam	G	128	0.011627	0.9712	537946	537946	73.126537	0.042904	0.0139445796	0.0283643047	95	0.5238095238	0.412442	0.14734	0.0142558862770681	0.16528734822606	0.20690659295662	0.206680734851074
f1216-c38-mesc-a1h5-hkt-f14-r5-c2_S1205_.processed.bam	G	135	0.000387111	0.977	548728	548728	73.587413	0.04837	0.0142319699	0.1223034473	99	0.5	0.416107	0.138362	0.0146188178260102	0.214451609906402	0.228732450252046	0.22662638605322
f1216-c38-mesc-a1h5-hkt-f14-r5-c3_S1206_.processed.bam	G	126	0.000352512	0.9501	545044	545044	72.918583	0.041248	0.0141127713	0.0349800146	101	0.5	0.413357	0.153182	0.0143981496030875	0.169304944843015	0.208113992897676	0.200366226175109
f1216-c38-mesc-a1h5-hkt-f14-r5-c4_S1207_.processed.bam	G	131	0.000333995	0.9783	562758	562758	73.116613	0.046155	0.01453623	0.0727863755	102	0.5147058824	0.414778	0.146228	0.0149014058531402	0.177860556119953	0.208739820170927	0.20397706230658
