Library	Quality
f1216-wt-mesc-a1h5-hkt-f12-r5-c4_S1157_	G
f1216-wt-mesc-a1h5-hkt-f12-r5-c5_S1158_	G
f1216-wt-mesc-a1h5-hkt-f12-r5-c6_S1159_	G
f1216-wt-mesc-a1h5-hkt-f12-r6-c2_S1160_	G
f1216-wt-mesc-a1h5-hkt-f12-r6-c3_S1161_	G
f1216-wt-mesc-a1h5-hkt-f12-r6-c4_S1162_	G
f1216-wt-mesc-a1h5-hkt-f12-r6-c5_S1163_	P
f1216-wt-mesc-a1h5-hkt-r54-c55_S631_	P
f1216-wt-mesc-a1h5-hkt-r54-c56_S632_	G
f1216-wt-mesc-a1h5-hkt-r54-c57_S633_	G
f1216-wt-mesc-a1h5-hkt-r54-c58_S634_	P
f1216-wt-mesc-a1h5-hkt-r54-c59_S635_	G
f1216-wt-mesc-a1h5-hkt-r54-c60_S636_	G
f1216-wt-mesc-a1h5-hkt-r54-c61_S637_	G
f1216-wt-mesc-a1h5-hkt-r54-c62_S638_	P
f1216-wt-mesc-a1h5-hkt-r54-c63_S639_	G
f1216-wt-mesc-a1h5-hkt-r54-c64_S640_	P
f1216-wt-mesc-a1h5-hkt-r54-c65_S641_	G
f1216-wt-mesc-a1h5-hkt-r54-c66_S642_	G
f1216-wt-mesc-a1h5-hkt-r54-c67_S643_	G
f1216-wt-mesc-a1h5-hkt-r54-c68_S644_	G
f1216-wt-mesc-a1h5-hkt-r54-c69_S645_	G
f1216-wt-mesc-a1h5-hkt-r54-c70_S646_	G
f1216-wt-mesc-a1h5-hkt-r55-c55_S667_	G
f1216-wt-mesc-a1h5-hkt-r55-c56_S668_	G
f1216-wt-mesc-a1h5-hkt-r55-c57_S669_	G
f1216-wt-mesc-a1h5-hkt-r55-c58_S670_	G
f1216-wt-mesc-a1h5-hkt-r55-c59_S671_	G
f1216-wt-mesc-a1h5-hkt-r55-c60_S672_	G
f1216-wt-mesc-a1h5-hkt-r55-c61_S673_	P
f1216-wt-mesc-a1h5-hkt-r55-c62_S674_	G
f1216-wt-mesc-a1h5-hkt-r55-c63_S675_	G
f1216-wt-mesc-a1h5-hkt-r55-c64_S676_	G
f1216-wt-mesc-a1h5-hkt-r55-c65_S677_	P
f1216-wt-mesc-a1h5-hkt-r55-c66_S678_	G
f1216-wt-mesc-a1h5-hkt-r55-c67_S679_	G
f1216-wt-mesc-a1h5-hkt-r55-c68_S680_	P
f1216-wt-mesc-a1h5-hkt-r55-c69_S681_	G
f1216-wt-mesc-a1h5-hkt-r55-c70_S682_	G
f1216-wt-mesc-a1h5-hkt-r56-c55_S703_	G
f1216-wt-mesc-a1h5-hkt-r56-c56_S704_	G
f1216-wt-mesc-a1h5-hkt-r56-c57_S705_	G
f1216-wt-mesc-a1h5-hkt-r56-c58_S706_	G
f1216-wt-mesc-a1h5-hkt-r56-c59_S707_	G
f1216-wt-mesc-a1h5-hkt-r56-c60_S708_	G
f1216-wt-mesc-a1h5-hkt-r56-c61_S709_	G
f1216-wt-mesc-a1h5-hkt-r56-c62_S710_	G
f1216-wt-mesc-a1h5-hkt-r56-c63_S711_	G
f1216-wt-mesc-a1h5-hkt-r56-c64_S712_	P
f1216-wt-mesc-a1h5-hkt-r56-c65_S713_	G
f1216-wt-mesc-a1h5-hkt-r56-c66_S714_	G
f1216-wt-mesc-a1h5-hkt-r56-c67_S715_	G
f1216-wt-mesc-a1h5-hkt-r56-c68_S716_	P
f1216-wt-mesc-a1h5-hkt-r56-c69_S717_	G
f1216-wt-mesc-a1h5-hkt-r56-c70_S718_	G
