filename	quality	coverage	spikiness	spikyness	background	evenness
blm-1-single-c5-w34-3d6_S134_.trimmed.mdup.bam	poor	47	0.256531083026085	0.254844326019853	0.0211997363216875	0.254844326019853
blm-1-single-c5-w36-3d6_S136_.trimmed.mdup.bam	okay	84	0.211362721454934	0.247232482018125	0.0157564376302318	0.247232482018125
blm-1-single-c5-w41-3d6_S141_.trimmed.mdup.bam	poor	18	0.319269226420276	0.256039000293099	0.0249564942255972	0.256039000293099
blm-1-single-c5-w42-3d6_S142_.trimmed.mdup.bam	okay	62	0.22845331403792	0.251216962769574	0.0178112361350258	0.251216962769574
blm-1-single-c5-w43-3d6_S143_.trimmed.mdup.bam	poor	44	0.25577914632723	0.249558919883076	0.0268887245754257	0.249558919883076
blm-1-single-c5-w45-3d6_S145_.trimmed.mdup.bam	okay	51	0.24698475123816	0.252010509907242	0.0233838438896762	0.252010509907242
blm-1-single-c5-w47-3d6_S147_.trimmed.mdup.bam	poor	19	0.318349323336934	0.256287479959273	0.0350729179221405	0.256287479959273
blm-1-single-c5-w5-3d6_S105_.trimmed.mdup.bam	poor	28	0.290441740655486	0.253804099441674	0.0233660130718954	0.253804099441674
blm-1-single-c5-w6-3d6_S106_.trimmed.mdup.bam	poor	31	0.288199563602052	0.254448327883399	0.0324920940038445	0.254448327883399
blm-1-single-c5-w7-3d6_S107_.trimmed.mdup.bam	good	128	0.189360891975948	0.239439164370259	0.0148960913295516	0.239439164370259
blm-1-single-c9-w15_.trimmed.mdup.bam	acceptable	47	0.225534540915434	0.23014642123887	0.0328453422752924	0.23014642123887
blm-1-single-c9-w19-3d6_S315_.trimmed.mdup.bam	poor	32	0.27690491582113	0.252915347426209	0.0256705340786322	0.252915347426209
blm-1-single-c9-w24-3d6_S320_.trimmed.mdup.bam	poor	30	0.275534952261075	0.251153732665286	0.021050920469785	0.251153732665286
blm-1-single-c9-w31_.trimmed.mdup.bam	okay	29	0.246370504279513	0.236908363820952	0.0219269960015478	0.236908363820952
blm-1-single-c9-w33_.trimmed.mdup.bam	okay	45	0.219533068087981	0.232262401189992	0.0231872335406029	0.232262401189992
blm-1-single-c9-w35-3d6_S331_.trimmed.mdup.bam	okay	26	0.291101293783528	0.253867782102437	0.0325154598045083	0.253867782102437
blm-1-single-c9-w40_.trimmed.mdup.bam	acceptable	64	0.194276465751429	0.228971577832013	0.0358593456186536	0.228971577832013
blm-1-single-c9-w42_.trimmed.mdup.bam	acceptable	57	0.183492440452397	0.211860056125044	0.0166352237312515	0.211860056125044
blm-1-single-c9-w43-3d6_S339_.trimmed.mdup.bam	okay	24	0.275290304434593	0.241923886990565	0.043483398322108	0.241923886990565
blm-1-single-c9-w44_.trimmed.mdup.bam	okay	33	0.238114791963947	0.237760922596862	0.0246903882910481	0.237760922596862
blm-1-single-c9-w46-3d6_S342_.trimmed.mdup.bam	poor	23	0.300048889417423	0.256528643264847	0.031396083385976	0.256528643264847
blm-1-single-c9-w6-3d6_S302_.trimmed.mdup.bam	poor	29	0.312637046814127	0.258120235290323	0.0186559123233691	0.258120235290323
blm-1-single-f5-r1-c1_S1_.trimmed.mdup.bam	really_good	248	0.113412418822648	0.19400196854966	0.0168753472626016	0.19400196854966
blm-1-single-f5-r1-c2_S2_.trimmed.mdup.bam	really_good	212	0.115774607363453	0.193602817238822	0.0110553319561894	0.193602817238822
blm-1-single-f5-r1-c3_S3_.trimmed.mdup.bam	good	131	0.133099662056056	0.200902921332764	0.0149630081188174	0.200902921332764
blm-1-single-f5-r2-c1_S8_.trimmed.mdup.bam	good	154	0.228014922424526	0.219809350327026	0.0371230483538703	0.219809350327026
blm-1-single-f5-r3-c1_S15_.trimmed.mdup.bam	acceptable	105	0.260143332372158	0.233516824568735	0.0162674293886307	0.233516824568735
blm-1-single-f5-r4-c6_S27_.trimmed.mdup.bam	okay	33	0.247140064888033	0.244209657080478	0.0242866652893511	0.244209657080478
blm-1-single-f5-r4-c7_S28_.trimmed.mdup.bam	okay	29	0.253676887166587	0.236706300961117	0.0332689357349849	0.236706300961117
blm-1-single-f5-r5-c2_S30_.trimmed.mdup.bam	okay	20	0.28878434201036	0.243417991136934	0.040831206707984	0.243417991136934
blm-1-single-f5-r5-c3_S31_.trimmed.mdup.bam	okay	28	0.260542307338183	0.245245463505495	0.0187266690040629	0.245245463505495
blm-1-single-f5-r6-c1_S36_.trimmed.mdup.bam	okay	44	0.228899677574769	0.245217994179813	0.0205556810481138	0.245217994179813
blm-1-single-f5-r6-c4_S39_.trimmed.mdup.bam	okay	35	0.29157124774135	0.252775882329503	0.0208381364498909	0.252775882329503
blm-1-single-f5-r6-c5_S40_.trimmed.mdup.bam	acceptable	56	0.207285970106058	0.235098236449217	0.0125157167410689	0.235098236449217
blm-1-single-f6-r1-c1_S50_.trimmed.mdup.bam	really_good	151	0.128991328671329	0.194871672236002	0.0120107755831873	0.194871672236002
blm-1-single-f6-r2-c1_S57_.trimmed.mdup.bam	acceptable	91	0.235910679021723	0.240938267579849	0.0374444757161562	0.240938267579849
blm-1-single-f6-r6-c4_S88_.trimmed.mdup.bam	acceptable	77	0.163964074695135	0.216224445770251	0.012574864308441	0.216224445770251
blm-1-single-f7-r1-c1_S99_.trimmed.mdup.bam	good	139	0.130896798742016	0.197466713884358	0.0107869956774333	0.197466713884358
blm-1-single-f7-r2-c6_S111_.trimmed.mdup.bam	acceptable	43	0.208002263456959	0.225684488222103	0.0194714279528298	0.225684488222103
blm-1-single-f7-r4-c3_S122_.trimmed.mdup.bam	good	115	0.134975255404741	0.197230013902141	0.0130193247025679	0.197230013902141
blm-1-single-f7-r4-c4_S123_.trimmed.mdup.bam	okay	36	0.245884286470375	0.237450440226316	0.0189635616049908	0.237450440226316
blm-1-single-f7-r5-c2_S128_.trimmed.mdup.bam	acceptable	80	0.156459457293385	0.200353595455661	0.0152055029439226	0.200353595455661
blm-1-single-f7-r5-c5_S131_.trimmed.mdup.bam	good	102	0.180600243160278	0.211410995032548	0.014161150528215	0.211410995032548
blm-1-single-f7-r5-c7_S133_.trimmed.mdup.bam	acceptable	109	0.291516563001323	0.250128056104988	0.0186208802597941	0.250128056104988
blm-1-single-f7-r6-c2_S135_.trimmed.mdup.bam	acceptable	52	0.185334387666789	0.206950302075435	0.0200002075786983	0.206950302075435
blm-1-single-f7-r6-c3_S136_.trimmed.mdup.bam	really_good	172	0.125016362631072	0.187829314984614	0.013963794638441	0.187829314984614
blm-1-single-f7-r6-c4_S137_.trimmed.mdup.bam	good	97	0.145975513740429	0.203253045242582	0.0190016994640152	0.203253045242582
blm-1-single-f7-r7-c1_S141_.trimmed.mdup.bam	acceptable	90	0.240685655243115	0.236520986308017	0.0167998809388323	0.236520986308017
blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	acceptable	67	0.182308974146584	0.224367785608576	0.0114563823533433	0.224367785608576
blm-recq5-1-single-c11-w1-3d6_S395_.trimmed.mdup.bam	poor	14	0.323259907917306	0.250769593179294	0.0155585268019934	0.250769593179294
blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	acceptable	71	0.211954088005845	0.223997895517411	0.01075582412711	0.223997895517411
blm-recq5-1-single-c11-w22-3d6_S416_.trimmed.mdup.bam	poor	14	0.352262076217909	0.250930331819768	0.0140462165835976	0.250930331819768
blm-recq5-1-single-c11-w33-3d6_S427_.trimmed.mdup.bam	okay	19	0.281002905994458	0.241246624911997	0.0157911470660967	0.241246624911997
blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	okay	38	0.21351832677573	0.226974239270894	0.0219583574104796	0.226974239270894
blm_recq5-1-single-c14-w38_.trimmed.mdup.bam	poor	23	0.268838147334687	0.240048038149737	0.0224503399546727	0.240048038149737
blm_recq5-1-single-c14-w9_.trimmed.mdup.bam	poor	24	0.260143705258125	0.239083714587554	0.0226958206476612	0.239083714587554
